---Settings being used---
Namespace(input_size=2, hidden_size=2, num_layers=1, train_size=250, test_size=100, lr=0.05, epochs=1000, runs=5, patience=30, batch_size=250, dropout=0.0, weight_decay=0.0, m=100, k=10000, noise_size=1, model='rlc', dataset='sin', OOD=False)
-------------------------
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.7643283009529114 LR:	 [0.049999753260397316] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 30 0.7899999618530273
1 ==	 Loss:	 0.7447497248649597 LR:	 [0.04999913641550001] Train acc:	 0.4000000059604645 Val acc:	 0.38999998569488525 Test acc:	 0.4399999976158142 Patience:	 30 0.38999998569488525
2 ==	 Loss:	 0.7375665307044983 LR:	 [0.04999827284165407] Train acc:	 0.4960000216960907 Val acc:	 0.38999998569488525 Test acc:	 0.5099999904632568 Patience:	 29 0.38999998569488525
3 ==	 Loss:	 0.7314078211784363 LR:	 [0.04999716254738256] Train acc:	 0.527999997138977 Val acc:	 0.4699999988079071 Test acc:	 0.5699999928474426 Patience:	 30 0.4699999988079071
4 ==	 Loss:	 0.7268761992454529 LR:	 [0.04999580554364363] Train acc:	 0.5440000295639038 Val acc:	 0.4399999976158142 Test acc:	 0.550000011920929 Patience:	 29 0.4699999988079071
5 ==	 Loss:	 0.7218763828277588 LR:	 [0.04999420184383034] Train acc:	 0.5440000295639038 Val acc:	 0.44999998807907104 Test acc:	 0.550000011920929 Patience:	 28 0.4699999988079071
6 ==	 Loss:	 0.717221200466156 LR:	 [0.04999235146377055] Train acc:	 0.5440000295639038 Val acc:	 0.4399999976158142 Test acc:	 0.5399999618530273 Patience:	 27 0.4699999988079071
7 ==	 Loss:	 0.7124739289283752 LR:	 [0.04999025442172672] Train acc:	 0.5360000133514404 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 26 0.4699999988079071
8 ==	 Loss:	 0.7076353430747986 LR:	 [0.049987910738395834] Train acc:	 0.5360000133514404 Val acc:	 0.4399999976158142 Test acc:	 0.5699999928474426 Patience:	 25 0.4699999988079071
9 ==	 Loss:	 0.7030674815177917 LR:	 [0.04998532043690905] Train acc:	 0.5200000405311584 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 24 0.4699999988079071
10 ==	 Loss:	 0.6997352838516235 LR:	 [0.04998248354283159] Train acc:	 0.5360000133514404 Val acc:	 0.4399999976158142 Test acc:	 0.550000011920929 Patience:	 23 0.4699999988079071
11 ==	 Loss:	 0.6968306303024292 LR:	 [0.04997940008416244] Train acc:	 0.5240000486373901 Val acc:	 0.4399999976158142 Test acc:	 0.5600000023841858 Patience:	 22 0.4699999988079071
12 ==	 Loss:	 0.6939483284950256 LR:	 [0.049976070091334056] Train acc:	 0.5320000052452087 Val acc:	 0.4399999976158142 Test acc:	 0.5399999618530273 Patience:	 21 0.4699999988079071
13 ==	 Loss:	 0.6920695304870605 LR:	 [0.04997249359721215] Train acc:	 0.5400000214576721 Val acc:	 0.4399999976158142 Test acc:	 0.5399999618530273 Patience:	 20 0.4699999988079071
14 ==	 Loss:	 0.6898784041404724 LR:	 [0.04996867063709519] Train acc:	 0.527999997138977 Val acc:	 0.429999977350235 Test acc:	 0.550000011920929 Patience:	 19 0.4699999988079071
15 ==	 Loss:	 0.6882690787315369 LR:	 [0.04996460124871427] Train acc:	 0.5360000133514404 Val acc:	 0.429999977350235 Test acc:	 0.5399999618530273 Patience:	 18 0.4699999988079071
16 ==	 Loss:	 0.6867029070854187 LR:	 [0.04996028547223258] Train acc:	 0.5120000243186951 Val acc:	 0.4399999976158142 Test acc:	 0.5399999618530273 Patience:	 17 0.4699999988079071
17 ==	 Loss:	 0.6848770976066589 LR:	 [0.049955723350245104] Train acc:	 0.5320000052452087 Val acc:	 0.4599999785423279 Test acc:	 0.5600000023841858 Patience:	 16 0.4699999988079071
18 ==	 Loss:	 0.6834338307380676 LR:	 [0.049950914927778096] Train acc:	 0.5200000405311584 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 15 0.4699999988079071
19 ==	 Loss:	 0.6824548244476318 LR:	 [0.04994586025228872] Train acc:	 0.5480000376701355 Val acc:	 0.44999998807907104 Test acc:	 0.5399999618530273 Patience:	 14 0.4699999988079071
20 ==	 Loss:	 0.6808117032051086 LR:	 [0.0499405593736646] Train acc:	 0.5360000133514404 Val acc:	 0.44999998807907104 Test acc:	 0.5399999618530273 Patience:	 13 0.4699999988079071
21 ==	 Loss:	 0.679559051990509 LR:	 [0.0499350123442232] Train acc:	 0.5240000486373901 Val acc:	 0.4399999976158142 Test acc:	 0.5399999618530273 Patience:	 12 0.4699999988079071
22 ==	 Loss:	 0.6785816550254822 LR:	 [0.049929219218711504] Train acc:	 0.527999997138977 Val acc:	 0.4399999976158142 Test acc:	 0.5399999618530273 Patience:	 11 0.4699999988079071
23 ==	 Loss:	 0.6772781610488892 LR:	 [0.049923180054305245] Train acc:	 0.5240000486373901 Val acc:	 0.429999977350235 Test acc:	 0.5399999618530273 Patience:	 10 0.4699999988079071
24 ==	 Loss:	 0.6757932901382446 LR:	 [0.04991689491060857] Train acc:	 0.5240000486373901 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 9 0.4699999988079071
25 ==	 Loss:	 0.6745734810829163 LR:	 [0.04991036384965323] Train acc:	 0.527999997138977 Val acc:	 0.41999998688697815 Test acc:	 0.5399999618530273 Patience:	 8 0.4699999988079071
26 ==	 Loss:	 0.6731771230697632 LR:	 [0.04990358693589821] Train acc:	 0.527999997138977 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 7 0.4699999988079071
27 ==	 Loss:	 0.6720353364944458 LR:	 [0.04989656423622887] Train acc:	 0.5200000405311584 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 6 0.4699999988079071
28 ==	 Loss:	 0.670860230922699 LR:	 [0.04988929581995637] Train acc:	 0.5240000486373901 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 5 0.4699999988079071
29 ==	 Loss:	 0.6693000793457031 LR:	 [0.049881781758817065] Train acc:	 0.5240000486373901 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 4 0.4699999988079071
30 ==	 Loss:	 0.6680371165275574 LR:	 [0.04987402212697167] Train acc:	 0.5240000486373901 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 3 0.4699999988079071
31 ==	 Loss:	 0.6668360233306885 LR:	 [0.04986601700100462] Train acc:	 0.5240000486373901 Val acc:	 0.44999998807907104 Test acc:	 0.550000011920929 Patience:	 2 0.4699999988079071
32 ==	 Loss:	 0.6655552983283997 LR:	 [0.049857766459923215] Train acc:	 0.5240000486373901 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 1 0.4699999988079071
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.7908039093017578 LR:	 [0.049999753260397316] Train acc:	 0.4320000112056732 Val acc:	 0.4399999976158142 Test acc:	 0.5699999928474426 Patience:	 30 0.4399999976158142
1 ==	 Loss:	 0.7779436111450195 LR:	 [0.04999913641550001] Train acc:	 0.4320000112056732 Val acc:	 0.4399999976158142 Test acc:	 0.5799999833106995 Patience:	 29 0.4399999976158142
2 ==	 Loss:	 0.7667971253395081 LR:	 [0.04999827284165407] Train acc:	 0.46000000834465027 Val acc:	 0.4699999988079071 Test acc:	 0.6100000143051147 Patience:	 30 0.4699999988079071
3 ==	 Loss:	 0.7561740875244141 LR:	 [0.04999716254738256] Train acc:	 0.5400000214576721 Val acc:	 0.5099999904632568 Test acc:	 0.6499999761581421 Patience:	 30 0.5099999904632568
4 ==	 Loss:	 0.745661199092865 LR:	 [0.04999580554364363] Train acc:	 0.6440000534057617 Val acc:	 0.5699999928474426 Test acc:	 0.75 Patience:	 30 0.5699999928474426
5 ==	 Loss:	 0.7356867790222168 LR:	 [0.04999420184383034] Train acc:	 0.7320000529289246 Val acc:	 0.6299999952316284 Test acc:	 0.7899999618530273 Patience:	 30 0.6299999952316284
6 ==	 Loss:	 0.7264966368675232 LR:	 [0.04999235146377055] Train acc:	 0.7680000066757202 Val acc:	 0.6399999856948853 Test acc:	 0.8299999833106995 Patience:	 30 0.6399999856948853
7 ==	 Loss:	 0.7176067233085632 LR:	 [0.04999025442172672] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 30 0.6499999761581421
8 ==	 Loss:	 0.7090790271759033 LR:	 [0.049987910738395834] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 29 0.6499999761581421
9 ==	 Loss:	 0.7013426423072815 LR:	 [0.04998532043690905] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 28 0.6499999761581421
10 ==	 Loss:	 0.6939241886138916 LR:	 [0.04998248354283159] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 27 0.6499999761581421
11 ==	 Loss:	 0.6865289807319641 LR:	 [0.04997940008416244] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 26 0.6499999761581421
12 ==	 Loss:	 0.6798135638237 LR:	 [0.049976070091334056] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 25 0.6499999761581421
13 ==	 Loss:	 0.6732466220855713 LR:	 [0.04997249359721215] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 24 0.6499999761581421
14 ==	 Loss:	 0.6667476296424866 LR:	 [0.04996867063709519] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 23 0.6499999761581421
15 ==	 Loss:	 0.6603199243545532 LR:	 [0.04996460124871427] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 22 0.6499999761581421
16 ==	 Loss:	 0.6543753147125244 LR:	 [0.04996028547223258] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 21 0.6499999761581421
17 ==	 Loss:	 0.6484225392341614 LR:	 [0.049955723350245104] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 20 0.6499999761581421
18 ==	 Loss:	 0.6426746845245361 LR:	 [0.049950914927778096] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 19 0.6499999761581421
19 ==	 Loss:	 0.6372941732406616 LR:	 [0.04994586025228872] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 18 0.6499999761581421
20 ==	 Loss:	 0.6322895884513855 LR:	 [0.0499405593736646] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 17 0.6499999761581421
21 ==	 Loss:	 0.627657413482666 LR:	 [0.0499350123442232] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 16 0.6499999761581421
22 ==	 Loss:	 0.6234552264213562 LR:	 [0.049929219218711504] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 15 0.6499999761581421
23 ==	 Loss:	 0.6194379925727844 LR:	 [0.049923180054305245] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 14 0.6499999761581421
24 ==	 Loss:	 0.6158411502838135 LR:	 [0.04991689491060857] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 13 0.6499999761581421
25 ==	 Loss:	 0.6124001145362854 LR:	 [0.04991036384965323] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 12 0.6499999761581421
26 ==	 Loss:	 0.6093717217445374 LR:	 [0.04990358693589821] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 11 0.6499999761581421
27 ==	 Loss:	 0.6064243316650391 LR:	 [0.04989656423622887] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 10 0.6499999761581421
28 ==	 Loss:	 0.6036952137947083 LR:	 [0.04988929581995637] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 9 0.6499999761581421
29 ==	 Loss:	 0.6012002229690552 LR:	 [0.049881781758817065] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 8 0.6499999761581421
30 ==	 Loss:	 0.5988472700119019 LR:	 [0.04987402212697167] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 7 0.6499999761581421
31 ==	 Loss:	 0.5966478586196899 LR:	 [0.04986601700100462] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 6 0.6499999761581421
32 ==	 Loss:	 0.5946242213249207 LR:	 [0.049857766459923215] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 5 0.6499999761581421
33 ==	 Loss:	 0.592663049697876 LR:	 [0.049849270585157014] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 4 0.6499999761581421
34 ==	 Loss:	 0.590887725353241 LR:	 [0.049840529460556796] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 3 0.6499999761581421
35 ==	 Loss:	 0.5891488790512085 LR:	 [0.04983154317239392] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 2 0.6499999761581421
36 ==	 Loss:	 0.5875539779663086 LR:	 [0.04982231180935942] Train acc:	 0.7760000228881836 Val acc:	 0.6499999761581421 Test acc:	 0.8399999737739563 Patience:	 1 0.6499999761581421
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.7116338610649109 LR:	 [0.049999753260397316] Train acc:	 0.5520000457763672 Val acc:	 0.5299999713897705 Test acc:	 0.41999998688697815 Patience:	 30 0.5299999713897705
1 ==	 Loss:	 0.7027810215950012 LR:	 [0.04999913641550001] Train acc:	 0.5520000457763672 Val acc:	 0.5600000023841858 Test acc:	 0.41999998688697815 Patience:	 30 0.5600000023841858
2 ==	 Loss:	 0.6977698802947998 LR:	 [0.04999827284165407] Train acc:	 0.5400000214576721 Val acc:	 0.5399999618530273 Test acc:	 0.41999998688697815 Patience:	 29 0.5600000023841858
3 ==	 Loss:	 0.6933119297027588 LR:	 [0.04999716254738256] Train acc:	 0.5120000243186951 Val acc:	 0.5099999904632568 Test acc:	 0.38999998569488525 Patience:	 28 0.5600000023841858
4 ==	 Loss:	 0.6888818144798279 LR:	 [0.04999580554364363] Train acc:	 0.5 Val acc:	 0.429999977350235 Test acc:	 0.38999998569488525 Patience:	 27 0.5600000023841858
5 ==	 Loss:	 0.6834936141967773 LR:	 [0.04999420184383034] Train acc:	 0.4360000193119049 Val acc:	 0.3999999761581421 Test acc:	 0.35999998450279236 Patience:	 26 0.5600000023841858
6 ==	 Loss:	 0.6771537661552429 LR:	 [0.04999235146377055] Train acc:	 0.48000001907348633 Val acc:	 0.3999999761581421 Test acc:	 0.35999998450279236 Patience:	 25 0.5600000023841858
7 ==	 Loss:	 0.6686233878135681 LR:	 [0.04999025442172672] Train acc:	 0.6440000534057617 Val acc:	 0.44999998807907104 Test acc:	 0.5600000023841858 Patience:	 24 0.5600000023841858
8 ==	 Loss:	 0.6597639322280884 LR:	 [0.049987910738395834] Train acc:	 0.628000020980835 Val acc:	 0.5299999713897705 Test acc:	 0.6100000143051147 Patience:	 23 0.5600000023841858
9 ==	 Loss:	 0.650763988494873 LR:	 [0.04998532043690905] Train acc:	 0.6200000047683716 Val acc:	 0.4699999988079071 Test acc:	 0.5899999737739563 Patience:	 22 0.5600000023841858
10 ==	 Loss:	 0.6431529521942139 LR:	 [0.04998248354283159] Train acc:	 0.6160000562667847 Val acc:	 0.44999998807907104 Test acc:	 0.5899999737739563 Patience:	 21 0.5600000023841858
11 ==	 Loss:	 0.6371327042579651 LR:	 [0.04997940008416244] Train acc:	 0.6160000562667847 Val acc:	 0.4699999988079071 Test acc:	 0.5799999833106995 Patience:	 20 0.5600000023841858
12 ==	 Loss:	 0.6323510408401489 LR:	 [0.049976070091334056] Train acc:	 0.6200000047683716 Val acc:	 0.4599999785423279 Test acc:	 0.5999999642372131 Patience:	 19 0.5600000023841858
13 ==	 Loss:	 0.629011869430542 LR:	 [0.04997249359721215] Train acc:	 0.6240000128746033 Val acc:	 0.44999998807907104 Test acc:	 0.5799999833106995 Patience:	 18 0.5600000023841858
14 ==	 Loss:	 0.6256195902824402 LR:	 [0.04996867063709519] Train acc:	 0.6040000319480896 Val acc:	 0.429999977350235 Test acc:	 0.5999999642372131 Patience:	 17 0.5600000023841858
15 ==	 Loss:	 0.6229344010353088 LR:	 [0.04996460124871427] Train acc:	 0.6000000238418579 Val acc:	 0.4699999988079071 Test acc:	 0.5899999737739563 Patience:	 16 0.5600000023841858
16 ==	 Loss:	 0.6202577948570251 LR:	 [0.04996028547223258] Train acc:	 0.6240000128746033 Val acc:	 0.44999998807907104 Test acc:	 0.5999999642372131 Patience:	 15 0.5600000023841858
17 ==	 Loss:	 0.6181730031967163 LR:	 [0.049955723350245104] Train acc:	 0.6080000400543213 Val acc:	 0.44999998807907104 Test acc:	 0.5899999737739563 Patience:	 14 0.5600000023841858
18 ==	 Loss:	 0.6158776879310608 LR:	 [0.049950914927778096] Train acc:	 0.6160000562667847 Val acc:	 0.4899999797344208 Test acc:	 0.5799999833106995 Patience:	 13 0.5600000023841858
19 ==	 Loss:	 0.6139085292816162 LR:	 [0.04994586025228872] Train acc:	 0.6160000562667847 Val acc:	 0.47999998927116394 Test acc:	 0.6100000143051147 Patience:	 12 0.5600000023841858
20 ==	 Loss:	 0.6122629046440125 LR:	 [0.0499405593736646] Train acc:	 0.6040000319480896 Val acc:	 0.4899999797344208 Test acc:	 0.5899999737739563 Patience:	 11 0.5600000023841858
21 ==	 Loss:	 0.6104810237884521 LR:	 [0.0499350123442232] Train acc:	 0.6240000128746033 Val acc:	 0.4399999976158142 Test acc:	 0.5899999737739563 Patience:	 10 0.5600000023841858
22 ==	 Loss:	 0.6088079810142517 LR:	 [0.049929219218711504] Train acc:	 0.628000020980835 Val acc:	 0.429999977350235 Test acc:	 0.6200000047683716 Patience:	 9 0.5600000023841858
23 ==	 Loss:	 0.6075963973999023 LR:	 [0.049923180054305245] Train acc:	 0.6200000047683716 Val acc:	 0.4399999976158142 Test acc:	 0.5799999833106995 Patience:	 8 0.5600000023841858
24 ==	 Loss:	 0.6062908172607422 LR:	 [0.04991689491060857] Train acc:	 0.6360000371932983 Val acc:	 0.4399999976158142 Test acc:	 0.5899999737739563 Patience:	 7 0.5600000023841858
25 ==	 Loss:	 0.6048687100410461 LR:	 [0.04991036384965323] Train acc:	 0.6200000047683716 Val acc:	 0.47999998927116394 Test acc:	 0.5999999642372131 Patience:	 6 0.5600000023841858
26 ==	 Loss:	 0.6034967303276062 LR:	 [0.04990358693589821] Train acc:	 0.6320000290870667 Val acc:	 0.47999998927116394 Test acc:	 0.5899999737739563 Patience:	 5 0.5600000023841858
27 ==	 Loss:	 0.6023065447807312 LR:	 [0.04989656423622887] Train acc:	 0.6240000128746033 Val acc:	 0.4699999988079071 Test acc:	 0.5999999642372131 Patience:	 4 0.5600000023841858
28 ==	 Loss:	 0.6011197566986084 LR:	 [0.04988929581995637] Train acc:	 0.64000004529953 Val acc:	 0.47999998927116394 Test acc:	 0.5899999737739563 Patience:	 3 0.5600000023841858
29 ==	 Loss:	 0.6002748012542725 LR:	 [0.049881781758817065] Train acc:	 0.6240000128746033 Val acc:	 0.4899999797344208 Test acc:	 0.5999999642372131 Patience:	 2 0.5600000023841858
30 ==	 Loss:	 0.5989276170730591 LR:	 [0.04987402212697167] Train acc:	 0.6440000534057617 Val acc:	 0.5 Test acc:	 0.5799999833106995 Patience:	 1 0.5600000023841858
Final train results: 0.6416000247001648 0.10196783979285008
Final test results: 0.6399999797344208 0.1505987996784321
